Nom;Naam;Name;Adresse;Adres;Code postal;Commune;Gemeente;Lien web;Coordonnées géographiques
Bruxella 1238;Bruxella 1238;Bruxella 1238;Boulevard Anspach, 80;Anspachlaan, 80;1000;Bruxelles;Brussel;https://www.boursebeurs.be/fr/bruxella-1238;50.84847631407153, 4.350784595139253
GardeRobe MannekenPis;GardeRobe MannekenPis;GardeRobe MannekenPis;Rue du Chêne, 19;Eikstraat, 19;1000;Bruxelles;Brussel;https://www.mannekenpis.brussels/fr/;50.8441617439145, 4.351001666149594
Musée des Égouts;Riolenmuseum;Sewermuseum;Porte d'Anderlecht (Pavillons d'Octroi);Anderlechtsepoort (Octrooipaviljoenen);1000;Bruxelles;Brussel;https://sewermuseum.brussels/;50.84490942944431, 4.338733832313733
Centrale for contemporary art;Centrale for contemporary art;Centrale for contemporary art;Place Sainte-Catherine, 45;Sint-Katelijneplein, 45;1000;Bruxelles;Brussel;https://centrale.brussels/;50.85046539608328, 4.347980790714955
Palais du Coudenberg;Coudenbergpaleis;Coudenberg Palace;Place des Palais, 7;Paleizenplein, 7;1000;Bruxelles;Brussel;https://coudenberg.brussels/fr;50.84280988787473, 4.360780707772138
Musée Mode & Dentelle;Mode & Kant Museum;Fashion & Lace Museum;Rue de la Violette, 12;Violetstraat, 12;1000;Bruxelles;Brussel;https://www.fashionandlacemuseum.brussels/fr/;50.845854237671944, 4.3519762092595276
Musée de la Ville de Bruxelles (Maison du Roi);Museum van de Stad Brussel (Broodhuis);Brussels City Museum (Maison du Roi);Grand-Place, 29-33;Grote Markt, 29-33;1000;Bruxelles;Brussel;https://www.brusselscitymuseum.brussels/fr/;50.84700206193049, 4.352862709956785
Hôtel de Ville de Bruxelles;Stadhuis van Brussel;City Hall of Brussels;Grand-Place, 8;Grote Markt, 8;1000;Bruxelles;Brussel;https://www.bruxelles.be/hotel-de-ville;50.84664777154148, 4.351968585103646
